,total_time,fire_size
284,15 days 02:00:00,1974.0
285,6 days 08:00:00,3587.0
286,21 days 15:36:00,64994.45
287,25 days 11:00:00,53448.0
288,9 days 02:45:00,10733.0
289,15 days 23:56:00,22905.81
290,5 days 01:42:00,4801.0
291,7 days 05:33:00,2700.9
292,0 days 03:30:00,2200.0
293,2 days 01:29:00,2256.0
294,3 days 00:30:00,2442.3
295,86 days 06:00:00,1146.0
296,17 days 22:10:00,6000.0
297,74 days 22:15:00,8759.0
298,26 days 04:53:00,3890.0
299,25 days 03:10:00,3039.0
300,76 days 01:33:00,1400.0
301,148 days 09:00:00,2171.0
302,2 days 06:00:00,3399.0
303,123 days 19:33:00,62591.0
304,11 days 00:02:00,1051.0
305,22 days 07:01:00,24900.0
306,20 days 05:27:00,2170.0
307,147 days 18:36:00,60038.0
308,140 days 21:10:00,52505.0
309,26 days 04:10:00,3100.0
310,59 days 02:40:00,1011.0
311,83 days 23:40:00,21585.0
312,93 days 21:00:00,1408.0
313,62 days 07:10:00,16105.0
314,0 days 02:37:00,1150.0
315,87 days 22:47:00,1001.0
316,73 days 03:49:00,25907.0
317,66 days 02:20:00,14637.0
318,99 days 17:49:00,47187.0
319,7 days 13:00:00,1200.0
320,85 days 17:28:00,58520.0
321,49 days 20:20:00,79149.0
322,14 days 21:34:00,6474.0
323,31 days 00:30:00,3660.0
324,20 days 03:45:00,8121.0
325,2 days 03:30:00,1543.0
326,66 days 17:14:00,1742.0
327,57 days 17:00:00,2500.0
328,61 days 22:04:00,1386.0
329,83 days 07:30:00,3621.0
330,24 days 00:29:00,3975.0
331,19 days 09:27:00,1582.0
332,105 days 23:30:00,6994.0
333,11 days 00:43:00,3898.0
334,60 days 16:00:00,26600.0
335,61 days 02:05:00,48143.0
336,10 days 03:40:00,1167.0
337,47 days 05:21:00,29062.0
338,25 days 00:00:00,18595.0
339,0 days 01:22:00,4358.0
340,69 days 23:48:00,174231.0
341,29 days 01:36:00,18306.0
342,35 days 20:35:00,54079.0
343,8 days 14:20:00,7603.0
344,91 days 00:20:00,8401.0
345,47 days 16:58:00,4556.0
346,90 days 20:42:00,1728.0
347,85 days 22:41:00,6547.0
348,60 days 07:06:00,240207.0
349,84 days 22:35:00,20327.0
350,93 days 23:15:00,80628.66
351,95 days 09:16:00,95193.0
352,97 days 20:12:00,4622.0
353,89 days 19:07:00,1200.0
354,100 days 20:16:00,3147.0
