,native,lat,long
500,TRIBE,36.0001,-95.0002
501,TRIBE,36.0001,-95.0002
502,TRIBE,35.7279,-94.5611
503,TRIBE,35.7315,-94.5599
504,TRIBE,35.704,-94.6569
505,TRIBE,35.6993,-94.6516
506,TRIBE,36.3312,-94.9197
507,TRIBE,35.7381,-94.5894
508,TRIBE,36.3143,-94.9077
509,TRIBE,35.7581,-94.6277
510,TRIBE,35.704,-94.5183
511,TRIBE,36.2923,-94.9169
512,TRIBE,36.3143,-94.9077
513,TRIBE,35.6737,-94.6933
514,TRIBE,36.3295,-94.9444
515,TRIBE,36.3295,-94.943
516,TRIBE,35.669,-94.7344
517,TRIBE,36.3356,-94.9455
518,TRIBE,36.3359,-94.9466
519,TRIBE,36.3212,-94.9666
520,TRIBE,35.7356,-94.5497
521,TRIBE,35.7418,-94.548
522,TRIBE,36.2301,-95.1141
523,TRIBE,35.7034,-94.6458
524,TRIBE,35.7309,-94.5541
525,TRIBE,35.7412,-94.6694
526,TRIBE,35.7445,-94.6408
527,TRIBE,35.7637,-94.6322
528,TRIBE,35.7629,-94.6322
529,TRIBE,35.7151,-94.6388
530,TRIBE,35.7137,-94.6397
531,TRIBE,36.4051,-95.0383
532,TRIBE,36.7076,-94.7813
533,TRIBE,35.7018,-94.4977
534,TRIBE,36.3237,-94.9933
535,TRIBE,35.7301,-94.5697
536,TRIBE,35.7362,-94.5449
537,TRIBE,35.8493,-95.0005
538,TRIBE,36.3029,-94.998
539,TRIBE,36.3018,-94.9911
540,TRIBE,36.2693,-94.8855
541,TRIBE,35.8887,-94.7683
542,TRIBE,36.3051,-94.8416
543,TRIBE,36.3118,-94.8438
544,TRIBE,35.7312,-94.5555
545,TRIBE,35.6987,-94.5222
546,TRIBE,36.2818,-94.8533
547,TRIBE,36.3181,-94.7994
548,TRIBE,36.2956,-94.8044
549,TRIBE,36.2984,-94.8161
550,TRIBE,36.3148,-94.8516
551,TRIBE,36.3156,-94.8325
552,TRIBE,35.8456,-94.9888
553,TRIBE,35.7154,-94.6386
554,TRIBE,35.6415,-94.4919
555,TRIBE,35.702,-94.5205
556,TRIBE,35.7445,-94.5377
557,TRIBE,35.7259,-94.5749
558,TRIBE,35.6809,-94.6933
559,TRIBE,36.3145,-94.9686
560,BIA,36.9395,-94.7072
561,BIA,36.7001,-94.6255
562,BIA,33.9501,-94.5002
563,BIA,34.4501,-94.6669
564,BIA,34.4501,-94.6502
565,BIA,34.4584,-94.6669
566,BIA,33.9834,-94.8669
567,BIA,34.1168,-95.0336
568,BIA,34.1168,-95.0336
569,BIA,34.1168,-95.0336
570,BIA,34.1168,-94.8336
571,BIA,34.1168,-95.0336
572,BIA,34.0834,-94.8836
573,BIA,34.1334,-94.5835
574,BIA,34.4334,-94.6336
575,BIA,34.0834,-94.6669
576,BIA,36.7709,-94.8333
577,BIA,36.9203,-94.6699
578,BIA,36.7001,-94.6336
579,BIA,36.9537,-94.6786
580,BIA,36.9528,-94.6955
581,BIA,36.7445,-94.623
582,BIA,36.9781,-94.8588
583,BIA,36.9345,-94.7605
584,BIA,36.937,-94.7605
585,BIA,36.9376,-94.7444
586,BIA,36.9167,-94.6336
587,BIA,36.9815,-94.8583
588,BIA,36.9395,-94.7427
589,BIA,36.9381,-94.743
590,BIA,36.9215,-94.7447
591,BIA,36.9167,-94.7502
592,BIA,36.9923,-94.7433
593,BIA,36.9223,-94.6352
594,BIA,37.0001,-94.8169
595,BIA,36.9542,-94.7144
596,BIA,36.9603,-94.6933
597,BIA,36.9487,-94.7147
598,BIA,36.9487,-94.7094
599,BIA,36.9459,-94.7149
600,BIA,36.9815,-94.7461
601,BIA,36.9192,-94.6724
602,BIA,36.9334,-94.7169
603,BIA,36.6517,-94.7441
604,BIA,36.7542,-96.2558
605,BIA,36.7542,-96.2558
606,BIA,36.7581,-96.2525
607,BIA,36.7501,-96.2503
608,BIA,36.4584,-96.4586
609,BIA,36.4584,-96.5989
610,BIA,36.6131,-96.8067
611,BIA,36.4798,-96.6134
612,BIA,36.4167,-96.3336
613,BIA,36.4334,-96.1669
614,BIA,36.4167,-96.217
615,BIA,36.492,-96.6828
616,BIA,36.4937,-96.4911
617,BIA,36.5739,-96.7748
618,BIA,36.4509,-96.5859
619,BIA,36.4478,-96.5622
620,BIA,36.5051,-96.4189
621,BIA,36.4915,-96.4247
